Site,URL
Mother of God Tretyakov,"https://www.google.com/maps/place/The+State+Tretyakov+Gallery/@55.7418382,37.6204223,2a,75y,344.03h,89.99t/data=!3m7!1e1!3m5!1s9Xgfsygl16DIf7yf23sM9w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0.009790313519914662%26panoid%3D9Xgfsygl16DIf7yf23sM9w%26yaw%3D344.02820229280474!7i13312!8i6656!4m9!3m8!1s0x46b54afe32078357:0xa50d6e8b9a7b028f!8m2!3d55.741389!4d37.6208639!10e5!14m1!1BCgIgARICCAI!16zL20vMDRtdnZ6?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Dormition+Cathedral/@55.7509805,37.6169829,3a,75y,306h,101.45t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIC4o6i02wE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZHxXwT6gUsnD7z12V2zihP-CBmSJ9_5SYlIAXDzOiaVvGFFy8cnZSjbAtB2xhhKUpPKNkNJOgLZcEYpsp1TVnnVOm033DHaGrCwbcQXZHTc1FqQnNqqfwsenvCBwE_-4_2dr6ufw%3Dw900-h600-k-no-pi-11.452146182911648-ya166.99542533697843-ro0-fo100!7i7680!8i3840!4m9!3m8!1s0x46b54a50b315e573:0x454e6eaf826aaa9a!8m2!3d55.7509805!4d37.6169829!10e5!14m1!1BCgIgARICCAI!16zL20vMDM2bXRk?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
Moscow CIrcus,https://www.youtube.com/watch?v=ivAWy96_ndM
VDNh,"https://www.google.com/maps/place/Worker+and+Kolkhoz+Woman/@55.8278686,37.6472004,3a,75y,340h,90t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgID40cumgwE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Ha2qqe9XgpZAw_uZ0D2edVU-Du03mivyRTcwERuMTtYygfVdtDJRpJlKEjbReKbHD42eSw1_p7B89Rj79c0yjPOJTcye-jm968ThyJ2I6ehDyCSGZFbu8htR3sYXfWt9pqCft6OVg%3Dw900-h600-k-no-pi0-ya31.295959472656193-ro0-fo100!7i10000!8i5000!4m9!3m8!1s0x46b5367926f3e95f:0xe9f688e59408f6bf!8m2!3d55.8281544!4d37.6468586!10e5!14m1!1BCgIgARICCAI!16zL20vMGRjM3hi?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/@55.8281373,37.6477408,3a,75y,252.05h,112.96t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgID6-96x4QE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HbQY-NX0AejZal9u32hafGuQB2t5JU0kDoZuNhdVtMT72obPxuMwKl8p-KQkAsK_CEe5A7cKKM0LharI-_ybk3gtcozCUNlKl2qze0MQrKXmTOQjsBrixBxCsvX58vqoV6hqc777w%3Dw900-h600-k-no-pi-22.959821764755347-ya100.9021307931942-ro0-fo100!7i6720!8i3360?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Worker+and+Kolkhoz+Woman/@55.8281548,37.646858,3a,75y,20h,90t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICszaCzzAE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HbkaRUDsswE1_-p0Jxr4_Vh966rqjPmNrmRVHWl5YxC0ecoKBvNZCpor2vtxseSjbiAji1V1sPujl_M9WyU_HKWMIIMZNcmevJwsIuOeXstbMXQ3TtODP8dWspTGbDWBR-hTYa9%3Dw900-h600-k-no-pi0-ya20-ro0-fo100!7i8000!8i4000!4m9!3m8!1s0x46b5367926f3e95f:0xe9f688e59408f6bf!8m2!3d55.8281544!4d37.6468586!10e5!14m1!1BCgIgARICCAI!16zL20vMGRjM3hi?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Worker+and+Kolkhoz+Woman/@55.8280635,37.6477545,3a,75y,275.17h,93.6t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgID40eXxLQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZU9HkCsJasqRNzlTwgT9a3FB61YLer_-4EeVLSN8GWmoMzjVsYod0FkWgZO3u-xc4fc_voft63gov5oMU4bIwmnhdfhntbrM6PJ_JcJ2ocmuwC3hM6ErdauXzywF67BP7tVCvh%3Dw900-h600-k-no-pi-3.6014886847742815-ya0.40526699139644506-ro0-fo100!7i10000!8i5000!4m9!3m8!1s0x46b5367926f3e95f:0xe9f688e59408f6bf!8m2!3d55.8281544!4d37.6468586!10e5!14m1!1BCgIgARICCAI!16zL20vMGRjM3hi?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Worker+and+Kolkhoz+Woman/@55.8283043,37.6461792,3a,75y,358.94h,106.6t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICk8MywVQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HbR4rY2LlI1riuj-o5NPczSZI5oC9CZD-CeRUACzj8xtwzG-Lf5oUdlwvIVL7JJKdi0wepSyjbbx1aYM7nYTj6prUGhEvjLa0kwaMVmDdmSvWlbqLt-pK4siuvsMsSLOt0huDNw%3Dw900-h600-k-no-pi-16.59961675385351-ya358.9371191708906-ro0-fo100!7i7700!8i3850!4m9!3m8!1s0x46b5367926f3e95f:0xe9f688e59408f6bf!8m2!3d55.8281544!4d37.6468586!10e5!14m1!1BCgIgARICCAI!16zL20vMGRjM3hi?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Worker+and+Kolkhoz+Woman/@55.8277765,37.6469464,3a,75y,23.38h,92.15t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgID40b3MEQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYfkX5ah6QS-Ujeg6KgWc4WcyhPaEWDcLGEgDlZXtaNGFBNlfomt2sapAfEUYJkGfYHKpX6O7jRBRiI-3Is9zl3w_HLsqHq4PvXCWm6_Cw9I15Ia_pCR3Hj0bGO9N-nHEp-OJ-t%3Dw900-h600-k-no-pi-2.1534649935026096-ya44.09086625304212-ro0-fo100!7i10000!8i5000!4m9!3m8!1s0x46b5367926f3e95f:0xe9f688e59408f6bf!8m2!3d55.8281544!4d37.6468586!10e5!14m1!1BCgIgARICCAI!16zL20vMGRjM3hi?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
Mosfilm Intro,https://www.youtube.com/watch?v=quHnKgfwoB0
Stalingrad Motherland,"https://www.google.com/maps/place/The+Motherland+Calls/@48.742036,44.5372934,3a,75y,334.26h,113.84t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDEj4TGNQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYa4WnvcPdQOPdX2SHl3l5gYKlwzGyHp1kwrenLdUBYlTU4kW6N_0uRLjdBh81HD2CW_2cYuGwFuFEIZfmLcUdgksLj7va0MLNauNrMvrZWcZ1bCvWWqP4g3QmhQzvVQu_Q9ECj%3Dw900-h600-k-no-pi-23.835098420916438-ya3.898634236708233-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7416169,44.5372475,3a,75y,3.14h,107.27t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICsmsO9dg!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Hbz9CCu7ZZnofI0xBw5oMUbhEdf2cPDlsacWAELe1IIrBgIOhyufrKx-HmzWLUJbzEKpvz3NRrsCzflMxc8WdD-4vIdSMPv4W-YbXkeSFrDL-yacKOWUUpAFsHv8jFzflCMaZw%3Dw900-h600-k-no-pi-17.269745690557556-ya3.139164028774851-ro0-fo100!7i11962!8i5981!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7422835,44.5390912,3a,75y,308.83h,91.67t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICE5_rMUg!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYSwwe7NhMS0g1oYVgzK82ALf8cpSTGOuKNCo9yMhxKAq-WhFV5ow5jNeb35GISZjn6IVCqkYt8x3MpKcW_pyHRo_LRLXi38IgOone8Go5N1AUOQ6QQsggLtYKwc_QQxwSYDxqc%3Dw900-h600-k-no-pi-1.6667927505443743-ya61.32755177588689-ro0-fo100!7i5376!8i2688!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7422806,44.5373112,3a,75y,320.85h,140.34t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDEpcDfoAE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZfPcpcvgoySqa0ht-Omo6S5oAlR4npOIbYctm2PgecVLgUzJpiPki8nSFPjmuqcQZ5sZU8YpKde20LI9gjlCN2OzcXKkWX6d6H0GsZk45oP2EX5QEB1S4xLHwy16YWJG3HGEduNQ%3Dw900-h600-k-no-pi-50.339945465922-ya191.4729113288244-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7423446,44.5370302,3a,75y,326.83h,94.14t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIC4w9y-Uw!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZ2_B6CKySmKdWWEu7-QZVG_KLI1BZ58YnsC5Xw67xJZiJ58mnj41iCwklBzAYJ4ROehZRZGwYFpZRLam2Qo60MAiqg-dJhr053CpvoaojtzvHEJowNO4WOhGK47rgi35L9x7dc%3Dw900-h600-k-no-pi-4.143100569701005-ya27.83065794592318-ro0-fo100!7i7680!8i3840!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7423446,44.5370302,3a,75y,204.37h,99.6t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDE3aa9rgE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZ4A4Ih64JXTkSYyzDSfqezbt-0bIRKmMVZvFMGwfXPkst1e5naZE6cUGU9HjB3bwrp5nShQ-VKk_oV281rzwze53LOimTezW8IeRLvZOrSrER1GFRysC4NyQoVJTWm_fX5Rkqr%3Dw900-h600-k-no-pi-9.601795952971756-ya281.37400052537316-ro0-fo100!7i8000!8i4000!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7418815,44.5387859,3a,75y,6.95h,86.35t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDEnqCpOw!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HaTM3K8597czNCA9K-sb0dkEL7k9j_xhSdm9HE98Ik4tuiyINb0PSn-wRS6yuiBQDYxqGVT6M2dmU5TQggpeUYd4ssZt066qX50rcg7l8eRt3SMkMa68B0_58nFxwYvDUQaeiIX%3Dw900-h600-k-no-pi3.653405201607441-ya6.953927839167871-ro0-fo100!7i10000!8i5000!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7410583,44.5409734,3a,75y,31.6h,99.4t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICE5_rM8gE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Ha1I6P0OFjmSTAW_YM_vS0KBDO8C0Kc1SwT6dfv3J0KbUSgU1ydggq5W73DYh6_U3QeHIbDVm9BzhiTspSH5zA_NCwoEmmte9SNeoCrKJ-StObffQEeINiARRaxkSd9-vuo4nIr%3Dw900-h600-k-no-pi-9.402782746644178-ya99.09759613583304-ro0-fo100!7i5376!8i2688!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
Lydia Litvak,"https://www.google.com/maps/@55.7808778,37.5996364,3a,23.1y,47.23h,88.17t/data=!3m8!1e1!3m6!1ssB79drg6f69RU-Id799xaQ!2e0!5s20190501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.8299999999999983%26panoid%3DsB79drg6f69RU-Id799xaQ%26yaw%3D47.23!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,https://upload.wikimedia.org/wikipedia/commons/0/00/Litvyakplaque.jpg
Tatiana Samoilova,"https://www.google.com/maps/place//@55.7243587,37.5542934,3a,75y,77.87h,97.5t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDqi72eag!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYAZqGwDNHEjIiPhP2p3EZfuBQ2JOSLC5f-Mq6zYM_o6-rYvxP7EpCp9A7Qy-z0vlpv9_xgspwbAe66EBLDKDud7IzJOzOdbCb-av7D1hxv2pPOJWmmQ5b67nD389sRxijmSWDH%3Dw900-h600-k-no-pi-7.5010823116418806-ya319.8740684016553-ro0-fo100!7i6144!8i3072!4m6!1m5!3m4!2zNTXCsDQzJzI3LjYiTiAzN8KwMzMnMTYuMiJF!8m2!3d55.7243306!4d37.5544917?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,https://images.findagrave.com/photos/2020/204/129401818_81f05eb4-91e6-4f8e-aaee-051a262a7538.jpeg
,https://upload.wikimedia.org/wikipedia/commons/8/87/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B5_%D0%A1%D0%B0%D0%BC%D0%BE%D0%B9%D0%BB%D0%BE%D0%B2%D0%BE%D0%B9_7.jpg
Plisetskaya,"https://www.google.com/maps/place/Maya+Plisetskaya+Square/@55.7617367,37.6142106,3a,75y,63.61h,94.27t/data=!3m7!1e1!3m5!1sD9pfK_rCGWLUoANRWqRBXw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-4.268178223133674%26panoid%3DD9pfK_rCGWLUoANRWqRBXw%26yaw%3D63.609647768090454!7i16384!8i8192!4m13!1m2!2m1!1splesetskaya+square!3m9!1s0x46b54a447d0f7b39:0x8b048fa12f794f88!8m2!3d55.7618074!4d37.6145153!10e5!14m1!1BCgIgARICCAI!15sChJwbGlzZXRza2F5YSBzcXVhcmWSARJ0b3VyaXN0X2F0dHJhY3Rpb27gAQA!16s%2Fg%2F11g9df2vb_?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Maya+Plisetskaya+Square/@55.7617645,37.6144829,3a,75y,341.49h,120.99t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDE8bzaQQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Hbm3lhKQMEVbdtPGu_a31ZdjIM36FClFlAigtSA4xEmSRFpHvUY8cHOKb6K5vSOGJcTiG25_Vvc9quoz_krOUjoRBLa1f3ohX-lr5oRTJgcd52d46SVtNPJncL9x_hdGSVQJCm8%3Dw900-h600-k-no-pi-30.98947134712681-ya341.48574767169293-ro0-fo100!7i14000!8i7000!4m13!1m2!2m1!1splesetskaya+square!3m9!1s0x46b54a447d0f7b39:0x8b048fa12f794f88!8m2!3d55.7618074!4d37.6145153!10e5!14m1!1BCgIgARICCAI!15sChJwbGlzZXRza2F5YSBzcXVhcmWSARJ0b3VyaXN0X2F0dHJhY3Rpb26qAVMQASoWIhJwbGlzZXRza2F5YSBzcXVhcmUoADIfEAEiG1Wud2oSRTTyF-ZwmGWBMGo2q_U2PEhdxdsMwTIWEAIiEnBsaXNldHNrYXlhIHNxdWFyZeABAA!16s%2Fg%2F11g9df2vb_?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
Ukrainian Motherland,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4265491,30.5630489,3a,75y,194.37h,116.13t/data=!3m8!1e1!3m6!1sAF1QipN70FCDZY3Zy3-7YNnY1gS0wmnd_p2f_pWbgnVs!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN70FCDZY3Zy3-7YNnY1gS0wmnd_p2f_pWbgnVs%3Dw203-h100-k-no-pi-18.231512-ya169.98392-ro-0-fo100!7i8704!8i4352!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI0MDkxMS4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.426475,30.5630008,3a,75y,254.41h,79.06t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICEvZyG9wE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HaUQHGq7444Rz-guq4gOVtpS-99q2czbbl-PcgO77b-bBCwYyBwQIWu7UePRmTzHz7gPhHnA8say0kMnvQgv1mRVBFO-kr-xL82-jtMVBrhnncY-Z5GwI87TL7oJgB0OsrXCdhRKQ%3Dw900-h600-k-no-pi10.936047074125497-ya3.4116449984235544-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
